response_id,synthetic_data_notice,raw_defect_type,age_band,gender,residence_region,party_composition,household_income_band,accessibility_needs,route_region,route_corridor,travel_type,direction,trip_purpose,vehicle,sailing_duration_band,accommodation,booking_channel,travel_frequency,completion_seconds,disruption_experienced,mot_price_value,mot_convenience,mot_car_access,mot_comfort_break,mot_scenery,mot_sustainability,mot_visiting_family,mot_business_flexibility,sat_booking,sat_terminal,sat_boarding,sat_cabin_seating,sat_food,sat_cleanliness,sat_staff,sat_wifi,sat_punctuality,sat_value,overall_satisfaction,nps_band,return_intent,recommend_intent,competitor_likelihood,service_recovery_evaluation,raw_response_id,raw_synthetic_data_notice,raw_raw_defect_type,raw_age_band,raw_gender,raw_residence_region,raw_party_composition,raw_household_income_band,raw_accessibility_needs,raw_route_region,raw_route_corridor,raw_travel_type,raw_direction,raw_trip_purpose,raw_vehicle,raw_sailing_duration_band,raw_accommodation,raw_booking_channel,raw_travel_frequency,raw_completion_seconds,raw_disruption_experienced,raw_mot_price_value,raw_mot_convenience,raw_mot_car_access,raw_mot_comfort_break,raw_mot_scenery,raw_mot_sustainability,raw_mot_visiting_family,raw_mot_business_flexibility,raw_sat_booking,raw_sat_terminal,raw_sat_boarding,raw_sat_cabin_seating,raw_sat_food,raw_sat_cleanliness,raw_sat_staff,raw_sat_wifi,raw_sat_punctuality,raw_sat_value,raw_overall_satisfaction,raw_nps_band,raw_return_intent,raw_recommend_intent,raw_competitor_likelihood,raw_service_recovery_evaluation,motivation_summary,satisfaction_summary,quality_flags,quality_status,rag_included
DFDS-00682,Synthetic simulated survey response - not real passenger data,,35-44,Woman,Poland,Business colleagues,Lower,Other assistance,Baltic,Karlshamn-Klaipeda,Foot passenger,Return,Business,None,Overnight (6-8 hours),Premium cabin,DFDS app,Once a year,796,No,2,4,2,5,3,4,1,4,4,3,2,3,3,4,2,2,2,1,3,Passive (7-8),3,4,2,Not applicable,DFDS-00682,Synthetic simulated survey response - not real passenger data,,35-44,Woman,Poland,Business colleagues,Lower,Other assistance,Baltic,Karlshamn-Klaipeda,Foot passenger,Return,Business,None,Overnight (6-8 hours),Premium cabin,DFDS app,Once a year,796,No,2,4,2,5,3,4,1,4,4,3,2,3,3,4,2,2,2,1,3,Passive (7-8),3,4,2,Not applicable,Comfort and a break from driving,2.6,,usable,true
DFDS-00683,Synthetic simulated survey response - not real passenger data,,18-24,Man,Germany,Business colleagues,Higher,Hearing or vision support,North Sea,IJmuiden-Newcastle,Freight driver,Outbound,Freight work,Van / freight vehicle,Long overnight (8+ hours),Private cabin,Travel agent,Monthly or more,649,No,5,4,5,4,4,4,2,5,5,5,5,4,5,4,4,4,3,3,5,Promoter (9-10),4,5,1,Not applicable,DFDS-00683,Synthetic simulated survey response - not real passenger data,,18-24,Man,Germany,Business colleagues,Higher,Hearing or vision support,North Sea,IJmuiden-Newcastle,Freight driver,Outbound,Freight work,Van / freight vehicle,Long overnight (8+ hours),Private cabin,Travel agent,Monthly or more,649,No,5,4,5,4,4,4,2,5,5,5,5,4,5,4,4,4,3,3,5,Promoter (9-10),4,5,1,Not applicable,Price and value; Vehicle access; Business flexibility,4.2,,usable,true
DFDS-00684,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,Lithuania,Solo,Lower,None,Baltic,Karlshamn-Klaipeda,Motorcycle,Outbound,Leisure,Motorcycle,Overnight (6-8 hours),Reclining seat,Phone,2-3 times a year,878,No,4,5,5,4,4,3,3,3,5,5,4,5,5,4,5,4,4,5,5,Promoter (9-10),4,4,2,Not applicable,DFDS-00684,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,Lithuania,Solo,Lower,None,Baltic,Karlshamn-Klaipeda,Motorcycle,Outbound,Leisure,Motorcycle,Overnight (6-8 hours),Reclining seat,Phone,2-3 times a year,878,No,4,5,5,4,4,3,3,3,5,5,4,5,5,4,5,4,4,5,5,Promoter (9-10),4,4,2,Not applicable,Convenience; Vehicle access,4.6,,usable,true
DFDS-00685,Synthetic simulated survey response - not real passenger data,,35-44,Woman,United Kingdom,Family with children,Prefer not to say,Hearing or vision support,North Sea,IJmuiden-Newcastle,Car passenger,Return,Holiday transit,Car,Long overnight (8+ hours),Premium cabin,Phone,Once a year,302,No,4,3,5,5,3,2,1,1,5,5,5,5,5,3,5,4,5,2,5,Promoter (9-10),4,4,2,Not applicable,DFDS-00685,Synthetic simulated survey response - not real passenger data,,35-44,Woman,United Kingdom,Family with children,Prefer not to say,Hearing or vision support,North Sea,IJmuiden-Newcastle,Car passenger,Return,Holiday transit,Car,Long overnight (8+ hours),Premium cabin,Phone,Once a year,302,No,4,3,5,5,3,2,1,1,5,5,5,5,5,3,5,4,5,2,5,Promoter (9-10),4,4,2,Not applicable,Vehicle access; Comfort and a break from driving,4.4,,usable,true
DFDS-00686,Synthetic simulated survey response - not real passenger data,,35-44,Prefer not to say,United Kingdom,Family with children,Upper-middle,Other assistance,English Channel,Newhaven-Dieppe,Car passenger,Return,Visiting friends/family,Car,Medium (3-6 hours),Standard seat,DFDS website,2-3 times a year,641,No,5,4,5,3,2,3,5,3,4,4,2,3,4,2,2,3,2,4,4,Promoter (9-10),3,3,2,Not applicable,DFDS-00686,Synthetic simulated survey response - not real passenger data,,35-44,Prefer not to say,United Kingdom,Family with children,Upper-middle,Other assistance,English Channel,Newhaven-Dieppe,Car passenger,Return,Visiting friends/family,Car,Medium (3-6 hours),Standard seat,DFDS website,2-3 times a year,641,No,5,4,5,3,2,3,5,3,4,4,2,3,4,2,2,3,2,4,4,Promoter (9-10),3,3,2,Not applicable,Price and value; Vehicle access; Visiting family or friends,3.0,,usable,true
DFDS-00687,Synthetic simulated survey response - not real passenger data,,55-64,Woman,Denmark,Couple,Lower,None,Norway coastal / overnight,Frederikshavn-Oslo,Car passenger,Outbound,Visiting friends/family,Car,Overnight (6-8 hours),Reclining seat,Corporate booking,2-3 times a year,774,No,3,3,5,4,3,3,5,3,3,4,5,4,4,3,4,4,3,3,4,Promoter (9-10),3,3,3,Not applicable,DFDS-00687,Synthetic simulated survey response - not real passenger data,,55-64,Woman,Denmark,Couple,Lower,None,Norway coastal / overnight,Frederikshavn-Oslo,Car passenger,Outbound,Visiting friends/family,Car,Overnight (6-8 hours),Reclining seat,Corporate booking,2-3 times a year,774,No,3,3,5,4,3,3,5,3,3,4,5,4,4,3,4,4,3,3,4,Promoter (9-10),3,3,3,Not applicable,Vehicle access; Visiting family or friends,3.7,,usable,true
DFDS-00688,Synthetic simulated survey response - not real passenger data,,45-54,Woman,Lithuania,Family with children,Lower,None,Baltic,Karlshamn-Klaipeda,Car passenger,Outbound,Leisure,Car,Overnight (6-8 hours),Private cabin,Corporate booking,First time,478,No,4,3,5,5,4,4,3,1,3,2,4,4,4,3,4,3,3,2,2,Detractor (0-6),2,2,3,Not applicable,DFDS-00688,Synthetic simulated survey response - not real passenger data,,45-54,Woman,Lithuania,Family with children,Lower,None,Baltic,Karlshamn-Klaipeda,Car passenger,Outbound,Leisure,Car,Overnight (6-8 hours),Private cabin,Corporate booking,First time,478,No,4,3,5,5,4,4,3,1,3,2,4,4,4,3,4,3,3,2,2,Detractor (0-6),2,2,3,Not applicable,Vehicle access; Comfort and a break from driving,3.2,,usable,true
DFDS-00689,Synthetic simulated survey response - not real passenger data,,55-64,Prefer not to say,Sweden,Business colleagues,Middle,Other assistance,Norway coastal / overnight,Frederikshavn-Oslo,Foot passenger,Return,Business,None,Overnight (6-8 hours),Premium cabin,DFDS app,Monthly or more,267,No,4,4,1,4,4,4,3,5,5,5,5,5,4,5,5,5,5,5,4,Promoter (9-10),5,4,3,Not applicable,DFDS-00689,Synthetic simulated survey response - not real passenger data,,55-64,Prefer not to say,Sweden,Business colleagues,Middle,Other assistance,Norway coastal / overnight,Frederikshavn-Oslo,Foot passenger,Return,Business,None,Overnight (6-8 hours),Premium cabin,DFDS app,Monthly or more,267,No,4,4,1,4,4,4,3,5,5,5,5,5,4,5,5,5,5,5,4,Promoter (9-10),5,4,3,Not applicable,Business flexibility,4.9,,usable,true
DFDS-00690,Synthetic simulated survey response - not real passenger data,,45-54,Woman,Germany,Friends,Higher,Other assistance,English Channel,Dover-Calais,Car passenger,Return,Leisure,Car,Short (under 3 hours),Standard seat,DFDS website,Once a year,390,No,4,5,5,2,3,2,1,1,3,4,5,3,4,3,5,3,3,4,5,Promoter (9-10),5,4,1,Not applicable,DFDS-00690,Synthetic simulated survey response - not real passenger data,,45-54,Woman,Germany,Friends,Higher,Other assistance,English Channel,Dover-Calais,Car passenger,Return,Leisure,Car,Short (under 3 hours),Standard seat,DFDS website,Once a year,390,No,4,5,5,2,3,2,1,1,3,4,5,3,4,3,5,3,3,4,5,Promoter (9-10),5,4,1,Not applicable,Convenience; Vehicle access,3.7,,usable,true
DFDS-00691,Synthetic simulated survey response - not real passenger data,,35-44,Woman,Germany,Couple,Lower,Mobility assistance,North Sea,IJmuiden-Newcastle,Car passenger,Outbound,Holiday transit,Car,Long overnight (8+ hours),Reclining seat,DFDS website,Monthly or more,890,No,2,5,5,4,3,2,3,1,4,3,3,3,4,2,3,2,2,2,2,Detractor (0-6),1,1,3,Not applicable,DFDS-00691,Synthetic simulated survey response - not real passenger data,,35-44,Woman,Germany,Couple,Lower,Mobility assistance,North Sea,IJmuiden-Newcastle,Car passenger,Outbound,Holiday transit,Car,Long overnight (8+ hours),Reclining seat,DFDS website,Monthly or more,890,No,2,5,5,4,3,2,3,1,4,3,3,3,4,2,3,2,2,2,2,Detractor (0-6),1,1,3,Not applicable,Convenience; Vehicle access,2.8,,usable,true
DFDS-00692,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,Belgium,Business colleagues,Upper-middle,Hearing or vision support,English Channel,Dover-Dunkirk,Foot passenger,Outbound,Business,None,Short (under 3 hours),Not applicable,Corporate booking,2-3 times a year,320,No,5,4,3,2,4,4,3,5,3,4,3,5,4,5,4,5,4,5,5,Promoter (9-10),5,4,2,Not applicable,DFDS-00692,Synthetic simulated survey response - not real passenger data,,25-34,Prefer not to say,Belgium,Business colleagues,Upper-middle,Hearing or vision support,English Channel,Dover-Dunkirk,Foot passenger,Outbound,Business,None,Short (under 3 hours),Not applicable,Corporate booking,2-3 times a year,320,No,5,4,3,2,4,4,3,5,3,4,3,5,4,5,4,5,4,5,5,Promoter (9-10),5,4,2,Not applicable,Price and value; Business flexibility,4.2,,usable,true
DFDS-00693,Synthetic simulated survey response - not real passenger data,,55-64,Prefer not to say,Germany,Solo,Higher,None,English Channel,Dover-Calais,Car passenger,Return,Leisure,Car,Short (under 3 hours),Reclining seat,Travel agent,First time,377,Yes,4,4,5,4,2,2,2,2,3,2,1,3,2,1,3,3,2,1,2,Detractor (0-6),3,2,4,3,DFDS-00693,Synthetic simulated survey response - not real passenger data,,55-64,Prefer not to say,Germany,Solo,Higher,None,English Channel,Dover-Calais,Car passenger,Return,Leisure,Car,Short (under 3 hours),Reclining seat,Travel agent,First time,377,Yes,4,4,5,4,2,2,2,2,3,2,1,3,2,1,3,3,2,1,2,Detractor (0-6),3,2,4,3,Vehicle access,2.1,,usable,true
DFDS-00694,Synthetic simulated survey response - not real passenger data,,18-24,Non-binary,Germany,Couple,Upper-middle,Other assistance,North Sea,Harwich-Hook of Holland,Car passenger,Return,Holiday transit,Car,Overnight (6-8 hours),Reclining seat,Corporate booking,2-3 times a year,639,No,4,3,5,4,4,2,2,3,5,5,4,4,3,5,3,4,4,5,4,Promoter (9-10),4,5,1,Not applicable,DFDS-00694,Synthetic simulated survey response - not real passenger data,,18-24,Non-binary,Germany,Couple,Upper-middle,Other assistance,North Sea,Harwich-Hook of Holland,Car passenger,Return,Holiday transit,Car,Overnight (6-8 hours),Reclining seat,Corporate booking,2-3 times a year,639,No,4,3,5,4,4,2,2,3,5,5,4,4,3,5,3,4,4,5,4,Promoter (9-10),4,5,1,Not applicable,Vehicle access,4.2,,usable,true
DFDS-00695,Synthetic simulated survey response - not real passenger data,,25-34,Man,United Kingdom,Friends,Lower,Mobility assistance,North Sea,Harwich-Hook of Holland,Motorcycle,Return,Leisure,Motorcycle,Overnight (6-8 hours),Premium cabin,Travel agent,Once a year,260,No,5,4,5,3,2,2,2,2,5,4,5,4,4,5,5,5,5,5,4,Promoter (9-10),4,4,3,Not applicable,DFDS-00695,Synthetic simulated survey response - not real passenger data,,25-34,Man,United Kingdom,Friends,Lower,Mobility assistance,North Sea,Harwich-Hook of Holland,Motorcycle,Return,Leisure,Motorcycle,Overnight (6-8 hours),Premium cabin,Travel agent,Once a year,260,No,5,4,5,3,2,2,2,2,5,4,5,4,4,5,5,5,5,5,4,Promoter (9-10),4,4,3,Not applicable,Price and value; Vehicle access,4.7,,usable,true
DFDS-00696,Synthetic simulated survey response - not real passenger data,,45-54,Woman,Poland,Business colleagues,Lower,None,Baltic,Karlshamn-Klaipeda,Freight driver,Outbound,Freight work,Van / freight vehicle,Overnight (6-8 hours),Premium cabin,DFDS app,Once a year,709,No,5,3,4,4,4,2,1,4,3,5,4,5,5,3,4,4,4,5,5,Promoter (9-10),5,4,1,Not applicable,DFDS-00696,Synthetic simulated survey response - not real passenger data,,45-54,Woman,Poland,Business colleagues,Lower,None,Baltic,Karlshamn-Klaipeda,Freight driver,Outbound,Freight work,Van / freight vehicle,Overnight (6-8 hours),Premium cabin,DFDS app,Once a year,709,No,5,3,4,4,4,2,1,4,3,5,4,5,5,3,4,4,4,5,5,Promoter (9-10),5,4,1,Not applicable,Price and value,4.2,,usable,true
DFDS-00697,Synthetic simulated survey response - not real passenger data,missing_values,25-34,Man,Netherlands,Business colleagues,Higher,None,North Sea,IJmuiden-Newcastle,Foot passenger,Outbound,Business,None,Long overnight (8+ hours),Premium cabin,Corporate booking,Monthly or more,521,No,3,4,2,4,4,,3,4,5,5,4,3,,4,5,5,3,3,3,Passive (7-8),4,2,2,,DFDS-00697,Synthetic simulated survey response - not real passenger data,missing_values,25-34,Man,Netherlands,Business colleagues,Higher,None,North Sea,IJmuiden-Newcastle,Foot passenger,Outbound,Business,None,Long overnight (8+ hours),Premium cabin,Corporate booking,Monthly or more,521,No,3,4,2,4,4,,3,4,5,5,4,3,,4,5,5,3,3,3,Passive (7-8),4,2,2,,No strong stated motivation,4.11,,usable,true
DFDS-00698,Synthetic simulated survey response - not real passenger data,speeding,35-44,Woman,United Kingdom,Friends,Higher,None,English Channel,Newhaven-Dieppe,Car passenger,Return,Holiday transit,Car,Medium (3-6 hours),Not applicable,Corporate booking,2-3 times a year,113,No,4,4,5,3,3,4,2,1,4,3,3,3,4,4,4,3,5,5,4,Promoter (9-10),5,4,1,Not applicable,DFDS-00698,Synthetic simulated survey response - not real passenger data,speeding,35-44,Woman,United Kingdom,Friends,Higher,None,English Channel,Newhaven-Dieppe,Car passenger,Return,Holiday transit,Car,Medium (3-6 hours),Not applicable,Corporate booking,2-3 times a year,113,No,4,4,5,3,3,4,2,1,4,3,3,3,4,4,4,3,5,5,4,Promoter (9-10),5,4,1,Not applicable,Vehicle access,3.8,speeding,usable_with_caution,true
DFDS-00699,Synthetic simulated survey response - not real passenger data,straight_lining,35-44,Man,Denmark,Family with children,Prefer not to say,None,Norway coastal / overnight,Copenhagen-Oslo,Car passenger,Return,Leisure,Car,Long overnight (8+ hours),Private cabin,DFDS app,Once a year,418,No,5,4,5,3,5,4,1,1,4,4,4,4,4,4,4,4,4,4,4,Promoter (9-10),5,3,3,Not applicable,DFDS-00699,Synthetic simulated survey response - not real passenger data,straight_lining,35-44,Man,Denmark,Family with children,Prefer not to say,None,Norway coastal / overnight,Copenhagen-Oslo,Car passenger,Return,Leisure,Car,Long overnight (8+ hours),Private cabin,DFDS app,Once a year,418,No,5,4,5,3,5,4,1,1,4,4,4,4,4,4,4,4,4,4,4,Promoter (9-10),5,3,3,Not applicable,Price and value; Vehicle access; Scenery and the crossing,4.0,straight_lining,usable_with_caution,true
DFDS-00700,Synthetic simulated survey response - not real passenger data,duplicate_pattern,35-44,Man,Denmark,Family with children,Prefer not to say,None,Norway coastal / overnight,Copenhagen-Oslo,Car passenger,Return,Leisure,Car,Long overnight (8+ hours),Private cabin,DFDS app,Once a year,418,No,5,4,5,3,5,4,1,1,4,4,4,4,4,4,4,4,4,4,4,Promoter (9-10),5,3,3,Not applicable,DFDS-00700,Synthetic simulated survey response - not real passenger data,duplicate_pattern,35-44,Man,Denmark,Family with children,Prefer not to say,None,Norway coastal / overnight,Copenhagen-Oslo,Car passenger,Return,Leisure,Car,Long overnight (8+ hours),Private cabin,DFDS app,Once a year,418,No,5,4,5,3,5,4,1,1,4,4,4,4,4,4,4,4,4,4,4,Promoter (9-10),5,3,3,Not applicable,Price and value; Vehicle access; Scenery and the crossing,4.0,straight_lining;duplicate_pattern,exclude_from_analysis,false
DFDS-00701,Synthetic simulated survey response - not real passenger data,route_trip_conflict,18-24,Non-binary,Belgium,Friends,Lower,Other assistance,English Channel,Dover-Calais,Car passenger,Outbound,Leisure,Car,Long overnight (8+ hours),Private cabin,Phone,2-3 times a year,864,Yes,4,3,5,3,3,4,1,1,3,4,4,3,3,4,2,2,3,5,3,Passive (7-8),4,4,2,4,DFDS-00701,Synthetic simulated survey response - not real passenger data,route_trip_conflict,18-24,Non-binary,Belgium,Friends,Lower,Other assistance,English Channel,Dover-Calais,Car passenger,Outbound,Leisure,Car,Long overnight (8+ hours),Private cabin,Phone,2-3 times a year,864,Yes,4,3,5,3,3,4,1,1,3,4,4,3,3,4,2,2,3,5,3,Passive (7-8),4,4,2,4,Vehicle access,3.3,route_trip_conflict,exclude_from_analysis,false
DFDS-00702,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,Norway,Business colleagues,Lower,Mobility assistance,Norway coastal / overnight,Copenhagen-Oslo,Freight driver,Return,Freight work,Van / freight vehicle,Long overnight (8+ hours),Reclining seat,DFDS app,First time,337,No,4,4,4,3,4,2,3,5,3,4,4,3,3,5,4,4,5,4,3,Passive (7-8),3,3,3,Not applicable,DFDS-00702,Synthetic simulated survey response - not real passenger data,,45-54,Non-binary,Norway,Business colleagues,Lower,Mobility assistance,Norway coastal / overnight,Copenhagen-Oslo,Freight driver,Return,Freight work,Van / freight vehicle,Long overnight (8+ hours),Reclining seat,DFDS app,First time,337,No,4,4,4,3,4,2,3,5,3,4,4,3,3,5,4,4,5,4,3,Passive (7-8),3,3,3,Not applicable,Business flexibility,3.9,,usable,true
DFDS-00703,Synthetic simulated survey response - not real passenger data,,45-54,Man,Sweden,Couple,Upper-middle,Hearing or vision support,Norway coastal / overnight,Copenhagen-Oslo,Motorcycle,Return,Holiday transit,Motorcycle,Long overnight (8+ hours),Premium cabin,DFDS app,First time,849,No,3,3,5,3,4,2,2,2,4,3,4,3,3,5,3,5,3,4,4,Promoter (9-10),4,3,3,Not applicable,DFDS-00703,Synthetic simulated survey response - not real passenger data,,45-54,Man,Sweden,Couple,Upper-middle,Hearing or vision support,Norway coastal / overnight,Copenhagen-Oslo,Motorcycle,Return,Holiday transit,Motorcycle,Long overnight (8+ hours),Premium cabin,DFDS app,First time,849,No,3,3,5,3,4,2,2,2,4,3,4,3,3,5,3,5,3,4,4,Promoter (9-10),4,3,3,Not applicable,Vehicle access,3.7,,usable,true
DFDS-00704,Synthetic simulated survey response - not real passenger data,,25-34,Non-binary,Lithuania,Couple,Middle,Other assistance,Baltic,Kiel-Klaipeda,Motorcycle,Outbound,Holiday transit,Motorcycle,Long overnight (8+ hours),Reclining seat,Travel agent,Once a year,185,No,3,5,5,4,2,4,2,2,5,4,5,4,4,3,5,3,4,4,5,Promoter (9-10),5,5,1,Not applicable,DFDS-00704,Synthetic simulated survey response - not real passenger data,,25-34,Non-binary,Lithuania,Couple,Middle,Other assistance,Baltic,Kiel-Klaipeda,Motorcycle,Outbound,Holiday transit,Motorcycle,Long overnight (8+ hours),Reclining seat,Travel agent,Once a year,185,No,3,5,5,4,2,4,2,2,5,4,5,4,4,3,5,3,4,4,5,Promoter (9-10),5,5,1,Not applicable,Convenience; Vehicle access,4.1,,usable,true
DFDS-00705,Synthetic simulated survey response - not real passenger data,,65+,Non-binary,Lithuania,Family with children,Lower,Hearing or vision support,Baltic,Kiel-Klaipeda,Car passenger,Outbound,Leisure,Car,Long overnight (8+ hours),Reclining seat,DFDS app,Monthly or more,741,No,4,4,5,3,2,2,1,1,4,5,3,3,5,3,3,3,3,3,5,Promoter (9-10),5,5,1,Not applicable,DFDS-00705,Synthetic simulated survey response - not real passenger data,,65+,Non-binary,Lithuania,Family with children,Lower,Hearing or vision support,Baltic,Kiel-Klaipeda,Car passenger,Outbound,Leisure,Car,Long overnight (8+ hours),Reclining seat,DFDS app,Monthly or more,741,No,4,4,5,3,2,2,1,1,4,5,3,3,5,3,3,3,3,3,5,Promoter (9-10),5,5,1,Not applicable,Vehicle access,3.5,,usable,true
DFDS-00706,Synthetic simulated survey response - not real passenger data,,45-54,Prefer not to say,Denmark,Solo,Lower,None,Norway coastal / overnight,Frederikshavn-Oslo,Motorcycle,Outbound,Leisure,Motorcycle,Overnight (6-8 hours),Premium cabin,DFDS website,2-3 times a year,667,No,5,3,5,5,3,2,2,1,5,5,5,4,5,3,3,4,5,3,3,Passive (7-8),3,3,3,Not applicable,DFDS-00706,Synthetic simulated survey response - not real passenger data,,45-54,Prefer not to say,Denmark,Solo,Lower,None,Norway coastal / overnight,Frederikshavn-Oslo,Motorcycle,Outbound,Leisure,Motorcycle,Overnight (6-8 hours),Premium cabin,DFDS website,2-3 times a year,667,No,5,3,5,5,3,2,2,1,5,5,5,4,5,3,3,4,5,3,3,Passive (7-8),3,3,3,Not applicable,Price and value; Vehicle access; Comfort and a break from driving,4.2,,usable,true
DFDS-00707,Synthetic simulated survey response - not real passenger data,,55-64,Man,Norway,Couple,Higher,None,Norway coastal / overnight,Copenhagen-Oslo,Foot passenger,Outbound,Leisure,None,Long overnight (8+ hours),Premium cabin,Travel agent,Once a year,849,No,3,4,3,4,3,3,2,1,4,3,5,3,5,4,3,3,3,5,3,Passive (7-8),4,3,3,Not applicable,DFDS-00707,Synthetic simulated survey response - not real passenger data,,55-64,Man,Norway,Couple,Higher,None,Norway coastal / overnight,Copenhagen-Oslo,Foot passenger,Outbound,Leisure,None,Long overnight (8+ hours),Premium cabin,Travel agent,Once a year,849,No,3,4,3,4,3,3,2,1,4,3,5,3,5,4,3,3,3,5,3,Passive (7-8),4,3,3,Not applicable,No strong stated motivation,3.8,,usable,true
DFDS-00708,Synthetic simulated survey response - not real passenger data,,35-44,Man,Netherlands,Family with children,Higher,Mobility assistance,English Channel,Newhaven-Dieppe,Foot passenger,Return,Leisure,None,Medium (3-6 hours),Standard seat,Phone,Once a year,487,No,5,3,1,3,3,2,3,1,3,5,3,3,3,4,5,4,5,5,5,Promoter (9-10),5,5,2,Not applicable,DFDS-00708,Synthetic simulated survey response - not real passenger data,,35-44,Man,Netherlands,Family with children,Higher,Mobility assistance,English Channel,Newhaven-Dieppe,Foot passenger,Return,Leisure,None,Medium (3-6 hours),Standard seat,Phone,Once a year,487,No,5,3,1,3,3,2,3,1,3,5,3,3,3,4,5,4,5,5,5,Promoter (9-10),5,5,2,Not applicable,Price and value,4.0,,usable,true
DFDS-00709,Synthetic simulated survey response - not real passenger data,,65+,Prefer not to say,Denmark,Family with children,Middle,None,Norway coastal / overnight,Copenhagen-Oslo,Foot passenger,Return,Visiting friends/family,None,Long overnight (8+ hours),Private cabin,Phone,2-3 times a year,473,No,5,5,2,3,3,4,4,3,5,5,5,3,5,4,4,3,5,3,5,Promoter (9-10),4,5,2,Not applicable,DFDS-00709,Synthetic simulated survey response - not real passenger data,,65+,Prefer not to say,Denmark,Family with children,Middle,None,Norway coastal / overnight,Copenhagen-Oslo,Foot passenger,Return,Visiting friends/family,None,Long overnight (8+ hours),Private cabin,Phone,2-3 times a year,473,No,5,5,2,3,3,4,4,3,5,5,5,3,5,4,4,3,5,3,5,Promoter (9-10),4,5,2,Not applicable,Price and value; Convenience,4.2,,usable,true
DFDS-00710,Synthetic simulated survey response - not real passenger data,,45-54,Woman,United Kingdom,Business colleagues,Upper-middle,None,English Channel,Dover-Dunkirk,Car passenger,Return,Business,Car,Short (under 3 hours),Standard seat,Travel agent,Monthly or more,542,No,4,5,5,4,3,2,2,5,5,4,4,3,3,3,4,5,5,3,4,Promoter (9-10),3,3,2,Not applicable,DFDS-00710,Synthetic simulated survey response - not real passenger data,,45-54,Woman,United Kingdom,Business colleagues,Upper-middle,None,English Channel,Dover-Dunkirk,Car passenger,Return,Business,Car,Short (under 3 hours),Standard seat,Travel agent,Monthly or more,542,No,4,5,5,4,3,2,2,5,5,4,4,3,3,3,4,5,5,3,4,Promoter (9-10),3,3,2,Not applicable,Convenience; Vehicle access; Business flexibility,3.9,,usable,true
DFDS-00711,Synthetic simulated survey response - not real passenger data,,65+,Non-binary,Germany,Business colleagues,Higher,None,English Channel,Dover-Calais,Car passenger,Outbound,Business,Car,Short (under 3 hours),Not applicable,Corporate booking,Once a year,185,No,4,3,5,2,2,4,2,5,5,4,4,4,5,3,4,4,3,5,5,Promoter (9-10),5,4,1,Not applicable,DFDS-00711,Synthetic simulated survey response - not real passenger data,,65+,Non-binary,Germany,Business colleagues,Higher,None,English Channel,Dover-Calais,Car passenger,Outbound,Business,Car,Short (under 3 hours),Not applicable,Corporate booking,Once a year,185,No,4,3,5,2,2,4,2,5,5,4,4,4,5,3,4,4,3,5,5,Promoter (9-10),5,4,1,Not applicable,Vehicle access; Business flexibility,4.1,,usable,true
DFDS-00712,Synthetic simulated survey response - not real passenger data,,35-44,Woman,Netherlands,Solo,Middle,Hearing or vision support,English Channel,Newhaven-Dieppe,Car passenger,Outbound,Leisure,Car,Medium (3-6 hours),Reclining seat,Corporate booking,Monthly or more,691,No,5,5,4,2,3,2,2,2,5,5,3,4,3,5,3,5,4,5,4,Promoter (9-10),5,4,2,Not applicable,DFDS-00712,Synthetic simulated survey response - not real passenger data,,35-44,Woman,Netherlands,Solo,Middle,Hearing or vision support,English Channel,Newhaven-Dieppe,Car passenger,Outbound,Leisure,Car,Medium (3-6 hours),Reclining seat,Corporate booking,Monthly or more,691,No,5,5,4,2,3,2,2,2,5,5,3,4,3,5,3,5,4,5,4,Promoter (9-10),5,4,2,Not applicable,Price and value; Convenience,4.2,,usable,true
DFDS-00713,Synthetic simulated survey response - not real passenger data,,65+,Man,Germany,Friends,Prefer not to say,Hearing or vision support,English Channel,Dover-Calais,Foot passenger,Return,Leisure,None,Short (under 3 hours),Reclining seat,Travel agent,Monthly or more,869,No,5,5,1,2,4,2,2,1,5,5,4,3,4,5,3,5,3,4,3,Passive (7-8),4,4,2,Not applicable,DFDS-00713,Synthetic simulated survey response - not real passenger data,,65+,Man,Germany,Friends,Prefer not to say,Hearing or vision support,English Channel,Dover-Calais,Foot passenger,Return,Leisure,None,Short (under 3 hours),Reclining seat,Travel agent,Monthly or more,869,No,5,5,1,2,4,2,2,1,5,5,4,3,4,5,3,5,3,4,3,Passive (7-8),4,4,2,Not applicable,Price and value; Convenience,4.1,,usable,true
